city,brand,model,href,price,year,mileage,body_type,colour,engine_info,credit_per_month,transmission,drive,hand_drive,condition,owners_num,doc_unique
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098507064-d4807b58/,380 000 ₽,2011,167 000 км,седан,зелёный,1.4 л / 107 л.с. / Бензин,3 210 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098515570-e3d275be/,899 990 ₽,2018,63 999 км,хэтчбек 5 дв.,серый,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098534186-bd3a4968/,485 000 ₽,2015,47 000 км,хэтчбек 5 дв.,белый,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098543770-c82b3eae/,400 000 ₽,2011,88 521 км,седан,зелёный,1.4 л / 107 л.с. / Бензин,3 210 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098605056-fbe09228/,520 000 ₽,2014,63 000 км,седан,бежевый,1.6 л / 123 л.с. / Бензин,4 305 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098652526-e99c941b/,799 990 ₽,2018,72 025 км,седан,серебристый,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098653278-3981c088/,420 000 ₽,2014,14 353 км,седан,серебристый,1.4 л / 107 л.с. / Бензин,3 371 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098654362-53cf6a0c/,239 990 ₽,2009,156 943 км,седан,серый,1.4 л / 97 л.с. / Бензин,2 183 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098658754-a1d37726/,60 000 ₽,2000,150 000 км,седан,зелёный,1.5 л / 97 л.с. / Бензин,2 183 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098675018-0793e777/,950 000 ₽,2019,7 000 км,седан,коричневый,1.6 л / 123 л.с. / Бензин,2 460 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098675496-f0c8ee1f/,245 000 ₽,2010,100 000 км,седан,белый,1.4 л / 97 л.с. / Бензин,2 183 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098728284-8a77d472/,400 000 ₽,2012,100 000 км,седан,серебристый,1.6 л / 123 л.с. / Бензин,3 690 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098760408-db333d92/,655 000 ₽,2016,79 500 км,седан,чёрный,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
nizhniy_novgorod,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1098760886-3850b4d8/,700 000 ₽,2016,23 115 км,седан,белый,1.6 л / 123 л.с. / Бензин,3 875 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
