city,brand,model,price,year,mileage,body_type,colour,annual_car_tax,transmission,drive,hand_drive,owners_num,doc_unique,engine_type,volume,horsepower
kazan,kia,rio,320000.0,2005,164536.0,седан,оранжевый,970.0,механическая,передний,Левый,3,Оригинал,Бензин,1.4,97.0
kazan,kia,rio,610000.0,2015,79200.0,седан,серебристый,4059.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,485000.0,2014,95000.0,седан,красный,3745.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,740000.0,2018,30000.0,хэтчбек 5 дв.,белый,1600.0,механическая,передний,Левый,3,Оригинал,Бензин,1.4,100.0
kazan,kia,rio,500000.0,2014,93000.0,хэтчбек 5 дв.,белый,4059.0,автоматическая,передний,Левый,3,Дубликат,Бензин,1.6,123.0
kazan,kia,rio,660000.0,2017,36444.0,седан,коричневый,3745.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,488000.0,2012,85000.0,седан,серебристый,3690.0,механическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,530000.0,2013,66750.0,седан,красный,3567.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,613000.0,2016,88000.0,седан,коричневый,4305.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,550000.0,2017,200000.0,седан,белый,3745.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,517000.0,2013,72000.0,седан,красный,3567.0,механическая,передний,Левый,1,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,600000.0,2015,69000.0,седан,чёрный,3690.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,460000.0,2013,73000.0,хэтчбек 5 дв.,серебристый,4305.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,220000.0,2006,133000.0,седан,чёрный,970.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,97.0
kazan,kia,rio,460000.0,2012,67333.0,хэтчбек 5 дв.,серый,4305.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,450000.0,2015,82000.0,седан,чёрный,2568.0,механическая,передний,Левый,3,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,475000.0,2012,153000.0,седан,чёрный,3690.0,автоматическая,передний,Левый,3,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,325000.0,2010,156000.0,хэтчбек 5 дв.,серебристый,950.0,механическая,передний,Левый,3,Дубликат,Бензин,1.4,95.0
kazan,kia,rio,515000.0,2014,87610.0,седан,серебристый,3690.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,480000.0,2012,122596.0,седан,красный,4059.0,автоматическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,470000.0,2015,70000.0,седан,чёрный,2996.0,механическая,передний,Левый,2,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,620000.0,2015,45000.0,седан,серебристый,4059.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,600000.0,2016,48000.0,седан,белый,3745.0,механическая,передний,Левый,1,Оригинал,Бензин,1.4,107.0
kazan,kia,rio,499000.0,2016,137800.0,седан,белый,4305.0,механическая,передний,Левый,2,Оригинал,Бензин,1.6,123.0
kazan,kia,rio,746000.0,2017,31948.0,хэтчбек 5 дв.,синий,1600.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.4,100.0
kazan,kia,rio,740000.0,2017,52883.0,хэтчбек 5 дв.,синий,1600.0,автоматическая,передний,Левый,1,Оригинал,Бензин,1.4,100.0
